Issue Type;Issue key;Issue id;Parent id;Summary;Assignee;Reporter;Priority;Status;Resolution;Created;Updated;Original Estimate;Remaining Estimate;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint
Bug;EMAP-494;143968;;As an User when I open cognos Reports they are wroken;;battacar;Blocker;To Do;;22/06/2017 12:40;24/07/2017 15:56;14400;14400;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 36;;;;;;
Bug;EMAP-452;140232;;The application is not sending notifications emails;pastorim;olivada;Blocker;Done;Fixed;09/06/2017 11:46;24/07/2017 11:17;7200;0;EMAP Sprint 29;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;
Bug;EMAP-498;144686;;As User trinanes I am not able to look for users into Sales for effectiveness in production;mazzola;battacar;Blocker;In Review;;26/06/2017 14:36;24/07/2017 11:16;10800;0;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;;;
Bug;EMAP-438;138751;;Is not possible create/edit cards in animal health ;pastorim;olivada;Blocker;Closed;Fixed;05/06/2017 10:37;07/06/2017 17:47;3600;0;EMAP Sprint 29;;;;;;;;
Bug;EMAP-357;135554;;The users from Sales_force_employee_vw has assign all regions;mazzola;olivada;Blocker;Closed;Fixed;22/05/2017 10:41;05/06/2017 09:32;7200;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Story;EMAP-222;104671;;User validation - Spotfire check API;olivada;pierdomj;Blocker;Closed;Fixed;23/Jan/17 4:48 PM;30/05/2017 12:12;7200;0;EMAP Sprint 27;EMAP Sprint 28;;;;;;;
Bug;EMAP-149;122118;;TAB Admin. Can�t access to EMAIL NOTIFICATIONS. Redirect to USER ADMIN;olivada;alfonsma;Blocker;Closed;Fixed;29/03/2017 13:32;03/Apr/17 10:41 AM;7200;7200;EMAP Sprint 19;;;;;;;;
Bug;EMAP-546;153946;;As a user when I upload a file with wrong extension, I am getting an error after saving. It should validate upload field.;pastorim;battacar;Critical;In Progress;;02/Aug/17 3:56 PM;02/Aug/17 7:17 PM;10800;10800;EMAP Sprint 35;;;;;;;;
Bug;EMAP-465;140943;;As an user when I open the portal in Chrome and IE the banner is very big. ;manfredj;battacar;Critical;In Progress;;13/06/2017 08:41;02/Aug/17 6:39 PM;28800;28800;EMAP Sprint 30;EMAP Sprint 31;EMAP Sprint 32;EMAP Sprint 33;EMAP Sprint 34;EMAP Sprint 35;;;
Bug;EMAP-544;150404;;A CRO SIP dashboard is present in bila but not in myreports;;olivada;Critical;To Do;;02/Aug/17 10:18 AM;02/Aug/17 6:28 PM;18000;18000;EMAP Sprint 35;;;;;;;;
